Zona 1-A; CAMPANA PATIN CLUB;campanapatinclub@gmail.com
Zona 1-A;CEDEPAR;cedeparuruguay@gmail.com
Zona 1-A;CESOPE;cesopepatinartistico@gmail.com
Zona 1-A;CLUB ARTESANO;gladysh0809@gmail.com
Zona 1-A;CLUB SOCIAL PIEDRAS BLANCAS;meche.land@gmail.com
Zona 1-A;ENSUEÑO'S;olguisgk@gmail.com
Zona 1-A;ESPARTA;caesparta.secretaria@gmail.com
Zona 1-A;JUNTOS SOBRE RUEDAS;mauricion25@gmail.com
Zona 1-A;LAS ACACIAS;la_noe21@hotmail.com
Zona 1-A;LIGA CELESTE DEL SUR;ligacelestedelsur@gmail.com
Zona 1-A;LIGA DE CLUBES CANELONES;lpetre@soldo.com.uy
Zona 1-A;LUCIDAS;lucymariotta@hotmail.com
Zona 1-A;MR. SOLID GOLD;mrsolidgold333@gmail.com
Zona 1-A;MONARCA;iglesiasgabriela174@gmail.com 
Zona 1-A;NAUTICO;nauticopatin@gmail.com
Zona 1-A;PATÍN CENTRO;patincentromeibel@gmail.com
Zona 1-A;PATÍN OHANA;ohanapatin@gmail.com
Zona 1-A;PATÍN ART. FUSIÓN;daianagomez@hotmail.com
Zona 1-A;PATÍN ART. STYLE;nahiaorona@gmail.com
Zona 1-A;SINFONIA SOBRE RUEDAS;sinfoniasobreruedas1986@gmail.com
Zona 1-A;SKATING SHOW;pathelgis@hotmail.es
Zona 1-A;TITANIUM;patinartisticotitanium@gmail.com 
Zona 2; ARTIGAS PATIN CARMELO;mariapatin2006@gmail.com
Zona 2;ACADEMIA DE PATÍN FRAY BENTOS;academiadepatin.fb@outlook.com
Zona 2;CLUB DEPORTIVO Y SOCIAL SANTA CATALINA;vimayero04@gmail.com
Zona 2;CORAZON SOBRE RUEDAS;corazonsobreruedas@hotmail.com
Zona 2;ESCUELA DE PATIN ARTISTICO GUICHON;marianalasaga12@gmail.com
